uhq_id,uhq_title,uhq_link,title,title_link,author,author_link,type,year,publisher,publisher_tag,metadata,citation_num,citation_link,sample_text
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," The Ute Indians of Utah, Colorado, and New Mexico",https://books.google.com/books?hl=en&lr=&id=UR3jCwAAQBAJ&oi=fnd&pg=PT10&ots=pg4l3pthgw&sig=ZuydO2WKy4SJD9Bc2IOeq6dWr0o,VMC Simmons,,BOOK,2001,University Press of Colorado,books.google.com,VMC Simmons - 2001 - books.google.com,100,"https://scholar.google.com/scholar?cites=11915414166139575547&as_sdt=5,45&sciodt=0,45&hl=en","Page 1 TITLE UTTE IN ID | A \, N C. or JTA rºl, Cº Lº RADº, AND NEW MEXICO Page 2 THE 
UTE INDIANS OF UTAH, COLORADO, AND NEW MEXICO Page 3 THE UTE INDIANS OF …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",Indian relations on the Mormon frontier,https://www.jstor.org/stable/45058004,J Brooks,,ARTICLE,1944,Utah Historical Quarterly,JSTOR,"J Brooks - Utah Historical Quarterly, 1944 - JSTOR",65,"https://scholar.google.com/scholar?cites=8247313603838687011&as_sdt=5,45&sciodt=0,45&hl=en","The subject of Indian relations on the Mormon frontier de-serves more extensive treatment than it has received, since it presents so many avenues of approach and interpretation …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Mormons and Native Americans: A historical and bibliographical introduction,https://scholarlypublishingcollective.org/uip/dial/article-pdf/18/4/33/1243720/45225400.pdf,DJ Whittaker,,ARTICLE,1985,Dialogue: A Journal of Mormon Thought,scholarlypublishingcollective.org,"DJ Whittaker - Dialogue: A Journal of Mormon …, 1985 - scholarlypublishingcollective.org",32,"https://scholar.google.com/scholar?cites=2272332660115273798&as_sdt=5,45&sciodt=0,45&hl=en","Introduction homas O'Dea (1957, 256) pointed out that Mormons have thought of native Americans from two perspectives. Theologically, their missionary work demanded that the …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",Skull Valley Crossroads: Reconciling Native Sovereignty and the Federal Trust,https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=3388&context=mlr,LL Davies,https://scholar.google.com/citations?user=Hb77jGIAAAAJ&hl=en&oi=sra,ARTICLE,2008,Maryland Law Review,HeinOnline,"LL Davies - Md. L. Rev., 2008 - HeinOnline",31,"https://scholar.google.com/scholar?cites=6967573706990557735&as_sdt=5,45&sciodt=0,45&hl=en","It has been long recognized that a deep tension pervades federal American Indian law. The foundational principles of the field-on the one hand, the notion that tribes keep their inherent …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en","SOCIAL MARGINALITY AND ACCULTURATION ON THE NORTHERN FRONTIER OF NEW SPAIN (MEXICO; BORDERLANDS, INDIANS)",https://search.proquest.com/openview/c006316e22bf44e3bb42797762e5ae40/1?pq-origsite=gscholar&cbl=18750&diss=y,PA Stern,,THESIS/DISSERTATION,1984,"University of California, Berkeley",search.proquest.com,PA Stern - 1984 - search.proquest.com,14,"https://scholar.google.com/scholar?cites=10130844089852016103&as_sdt=5,45&sciodt=0,45&hl=en","The dissertation examines how the idea of"" the frontier"" in national historical development has changed and grown since its postulation by Frederick Jackson Turner. Far from being …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", The Colorado River: Its history in the lower canyons area,https://search.proquest.com/openview/2f120e509bb3fd7cf08c9f24c7897780/1?pq-origsite=gscholar&cbl=18750&diss=y,MT Smith,,THESIS/DISSERTATION,1972,Brigham Young University,search.proquest.com,MT Smith - 1972 - search.proquest.com,14,"https://scholar.google.com/scholar?cites=1672982729818467050&as_sdt=5,45&sciodt=0,45&hl=en","While much has been written about the Colorado River, little scholarly study has been expended on the region of its lower canyons. This project reviews the major primary …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Saints or Sinners? The Evolving Perceptions of Mormon-Indian Relations in Utah Historiography,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/72/1/19/205836,S Jones,,ARTICLE,2004,Utah Historical Quarterly,scholarlypublishingcollective.org,"S Jones - Utah Historical Quarterly, 2004 - scholarlypublishingcollective.org",13,"https://scholar.google.com/scholar?cites=16514593509534243920&as_sdt=5,45&sciodt=0,45&hl=en","UTAH HISTORICAL QUARTERLY tion between the two warring tribes of white men: the more friendly"" Mormonees"" and the often deceptive and abusive American"" Mericats."" 2 …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",The Spaniard and the Ute,https://www.jstor.org/stable/45057720,SL Tyler,,ARTICLE,1954,Utah Historical Quarterly,JSTOR,"SL Tyler - Utah Historical Quarterly, 1954 - JSTOR",10,"https://scholar.google.com/scholar?cites=15950796089385507150&as_sdt=5,45&sciodt=0,45&hl=en",* S. Lyman Tyler is the author of several studies on the Yuta Indians and the Rocky Mountain region before and during its exploration by the Spanish. He wishes to express appreciation …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en","The Old Spanish Trail, Santa Fe to Los Angeles",https://www.jstor.org/stable/3816075,LRR Hafen,,ARTICLE,1948,The Huntington Library Quarterly,JSTOR,"LRR Hafen - The Huntington Library Quarterly, 1948 - JSTOR",10,"https://scholar.google.com/scholar?cites=3855639162790121639&as_sdt=5,45&sciodt=0,45&hl=en",-HE OLD SPANISH TRAIL was a well-marked travel path of the far I West one hundred years ago. For some two decades only it was a trail of regular commerce between northern New …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," Relations between the Ute Indians and the United States government, 1848–1900",https://search.proquest.com/openview/ab2172980f4f891e75509db291484374/1?pq-origsite=gscholar&cbl=18750&diss=y,JW Covington,,THESIS/DISSERTATION,1949,University of Oklahoma,search.proquest.com,JW Covington - 1949 - search.proquest.com,9,"https://scholar.google.com/scholar?cites=14557885135214135829&as_sdt=5,45&sciodt=0,45&hl=en",The struggle of the Indians against the overwhelming tide of white migration has provided many interesting episodes in American history. Some tribes gallantly resisted the invaders …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," Explorers, Traders, and Slavers: Forging the Old Spanish Trail, 1678-1850",,JP Sanchez,,BOOK,1997,University of Utah Press,Press,JP Sanchez - 1997 - University of Utah Press,46,"https://scholar.google.com/scholar?cites=8226579840698481788&as_sdt=5,45&sciodt=0,45&hl=en",
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Standing up country: The canyon lands of Utah and Arizona,,CG Crampton,,BOOK,1964,Knopf,Knopf,CG Crampton - 1964 - Knopf,27,"https://scholar.google.com/scholar?cites=10354260917475706154&as_sdt=5,45&sciodt=0,45&hl=en",
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Violence over the land: colonial encounters in the American Great Basin,https://search.proquest.com/openview/d4b77d54075ed4a4e8524ed374bffb90/1?pq-origsite=gscholar&cbl=18750&diss=y,N Blackhawk,,THESIS/DISSERTATION,1999,University of Washington,search.proquest.com,N Blackhawk - 1999 - search.proquest.com,9,"https://scholar.google.com/scholar?cites=12925822518921745482&as_sdt=5,45&sciodt=0,45&hl=en",This dissertation examines the making and unmaking of a common social landscape between bands of Ute Indians throughout the Colorado Plateau and Spanish and Mexican …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Utah's Ethnic Minorities: A Survey,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/40/3/210/207615,RO Ulibarri,,ARTICLE,1972,Utah Historical Quarterly,scholarlypublishingcollective.org,"RO Ulibarri - Utah Historical Quarterly, 1972 - scholarlypublishingcollective.org",6,"https://scholar.google.com/scholar?cites=15104083643526892228&as_sdt=5,45&sciodt=0,45&hl=en","Dr. Ulibarri is director of the Institute of Ethnic Studies at Weber State College. He received that institution's first Honors Lecture Award for his paper"" The Negro Legacy in America."" In …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Homesteads on the purgatoire: Frontiers of culture contact in 19th century Colorado,https://search.proquest.com/openview/b0bd63d7b695c4ad32664d0928e8ddf9/1?pq-origsite=gscholar&cbl=18750&diss=y,MC Church,https://scholar.google.com/citations?user=U30gLwsAAAAJ&hl=en&oi=sra,THESIS/DISSERTATION,2001,University of Pennsylvania,search.proquest.com,MC Church - 2001 - search.proquest.com,6,"https://scholar.google.com/scholar?cites=14732822607817134291&as_sdt=5,45&sciodt=0,45&hl=en",The 1870s was a time of great change in the human culture and landscape of southeastern Colorado. Spanish-speaking people from New Mexico were moving north into this area …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Frontier Arms of the Mormons,https://scholarlypublishingcollective.org/uip/uhq/article-abstract/42/1/4/207408,HW Gibson,,ARTICLE,1974,Utah Historical Quarterly,scholarlypublishingcollective.org,"HW Gibson - Utah Historical Quarterly, 1974 - scholarlypublishingcollective.org",5,"https://scholar.google.com/scholar?cites=12737976610601159218&as_sdt=5,45&sciodt=0,45&hl=en","Firearms became de-V cisiVELY important for the Mormons on the Missouri fron-tier of the 1830s. Those disastrous years, marked by increasingly violent confrontation with the …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", The Ute Development Program: a study in culture change in an underdeveloped area within the United States,https://search.proquest.com/openview/36268d70c3b04053e340997ebf93d1a1/1?pq-origsite=gscholar&cbl=18750&diss=y,GO Lang,,THESIS/DISSERTATION,1954,Cornell University,search.proquest.com,GO Lang - 1954 - search.proquest.com,5,"https://scholar.google.com/scholar?cites=13566639697987956439&as_sdt=5,45&sciodt=0,45&hl=en","THE UTE DEVELOPMENT PROGRAM: A STUDY IN CULTURE CHANGE IN AN 
UNDERDEVELOPED AREA WITHIN THE UNITED STATES THE UTE DEVELOPMENT …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", The Brothers Robidoux and the Opening of the American West,https://books.google.com/books?hl=en&lr=&id=u9nGjZKfEb8C&oi=fnd&pg=PR7&ots=84xZpycxE0&sig=M7Cg1ha8QDBxCSx9YXVDiFsuS7E,RJ Willoughby,,BOOK,2012,University of Missouri Press,books.google.com,RJ Willoughby - 2012 - books.google.com,5,"https://scholar.google.com/scholar?cites=12815559653228018928&as_sdt=5,45&sciodt=0,45&hl=en","Written in a unique biographical format, Robert Willoughby interweaves the stories of six brothers who shaped the American trans-Mississippi West during the first five decades of the …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," The trial of Don Pedro León: politics, prejudice, and pragmatism",https://scholarlypublishingcollective.org/uip/uhq/article-abstract/65/2/165/205644,S Jones,,ARTICLE,1997,Utah Historical Quarterly,scholarlypublishingcollective.org,"S Jones - Utah Historical Quarterly, 1997 - scholarlypublishingcollective.org",4,"https://scholar.google.com/scholar?cites=14364509987471299457&as_sdt=5,45&sciodt=0,45&hl=en","In December 1851 authorities from Manti, Utah, arrested eight"" Spanish"" 1 traders from New Mexico, including their leader, Pedro León, and eventually brought them to trial in the First …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Constructing western pasts: Place and public memory in the twentieth-century American West,https://search.proquest.com/openview/ae4a2797378970dfeb6a9fd4d7ebfdac/1?pq-origsite=gscholar&cbl=18750&diss=y,WD Seefeldt,,THESIS/DISSERTATION,2001,Arizona State University,search.proquest.com,WD Seefeldt - 2001 - search.proquest.com,4,"https://scholar.google.com/scholar?cites=3181712581580282059&as_sdt=5,45&sciodt=0,45&hl=en","Pasts are constructed in the twentieth-century American West, just as they are wherever and whenever humans strive to create a sense of place and to validate memory. Rivers and …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", The Indian slave trade in New Mexico: Escalating conflicts and the limits of state power,https://search.proquest.com/openview/7e24cd51b30a91946c74370ea196719b/1?pq-origsite=gscholar&cbl=18750&diss=y,AS Hernandez,,THESIS/DISSERTATION,2003,University of New Mexico,search.proquest.com,AS Hernandez III - 2003 - search.proquest.com,4,"https://scholar.google.com/scholar?cites=11477035061869828430&as_sdt=5,45&sciodt=0,45&hl=en","The Indian slave trade shaped ethnic, political, social and military relationships in New Mexico for more than four centuries. Conflict relating to this commerce, over time …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", The Walker War Reconsidered,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=3460&context=etd,RE Wimmer,,THESIS/DISSERTATION,2010,Brigham Young University,search.proquest.com,RE Wimmer - 2010 - search.proquest.com,2,"https://scholar.google.com/scholar?cites=7640168948935183220&as_sdt=5,45&sciodt=0,45&hl=en","Abstract In July of 1853, Chief Wakara's band of Utes clashed in a series of violent confrontations with the Mormon settlers. This conflict is known as the Walker War. Many …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," Continuity, convergence, and conquest: a new history of the Old Spanish Trail",https://search.proquest.com/openview/e8354f360148e11742829008a8e74542/1?pq-origsite=gscholar&cbl=18750&diss=y,PL Gough,,THESIS/DISSERTATION,1997,California State University,search.proquest.com,PL Gough - 1997 - search.proquest.com,2,"https://scholar.google.com/scholar?cites=4678118019167947282&as_sdt=5,45&sciodt=0,45&hl=en","Abstract The Old Spanish Trail traveled twelve hundred miles from Santa Fe, New Mexico northwest into the Great Basin region of Utah and then southwest across the Mojave Desert …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",Report of an Expedition to Locate Utah's First Capitol,https://www.jstor.org/stable/45057845,EL Cooley,,ARTICLE,1955,Utah Historical Quarterly,JSTOR,"EL Cooley - Utah Historical Quarterly, 1955 - JSTOR",2,"https://scholar.google.com/scholar?cites=13480750735853289455&as_sdt=5,45&sciodt=0,45&hl=en","The Territory Organic of Act Utah, of September reduced considerably 9, 1850, which the size created of the the Territory of Utah, reduced considerably the size of the area which the …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," Environmental justice and American-Indian sovereignty: political, economic, and ethnic struggles regarding the storage of radioactive waste",https://search.proquest.com/openview/72eac1689d69d34580bd8341f149bc0d/1?pq-origsite=gscholar&cbl=18750&diss=y,N Ishiyama,,THESIS/DISSERTATION,2002,Rutgers The State University of New Jersey,search.proquest.com,N Ishiyama - 2002 - search.proquest.com,2,"https://scholar.google.com/scholar?cites=10726624561052214435&as_sdt=5,45&sciodt=0,45&hl=en",This dissertation employs a case study method that examines the intricate political and ecological implications of siting a temporary storage of high-level radioactive waste facility …
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",Civilizing the Ragged Edge: The Wives of Jacob Hamblin,https://www.jstor.org/stable/23289589,T Compton,,ARTICLE,2007,Journal of Mormon History,JSTOR,"T Compton - Journal of Mormon History, 2007 - JSTOR",2,"https://scholar.google.com/scholar?cites=5447174804851203345&as_sdt=5,45&sciodt=0,45&hl=en","Jacob Vernon Hamblin, twenty, not yet a Mormon convert, married fifteen-year-old Lucinda Taylor on October 3, 1839, in Spring Prairie, Wisconsin. She was"" young and [a person of] lit …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Les premiers peuples des Plaines: De la période ancienne à l'arrivée des Européens,https://books.google.com/books?hl=en&lr=&id=7VW6DwAAQBAJ&oi=fnd&pg=PT1&ots=POYX8GOB_b&sig=azxcBJdsw1IbmC77l__FIa_fY-0,GE Hyde,,BOOK,2019,Editions du Rocher,books.google.com,"GE Hyde, D Dubois, K Bodson - 2019 - books.google.com",1,"https://scholar.google.com/scholar?cites=16804179459492681401&as_sdt=5,45&sciodt=0,45&hl=en","Les premiers peuples des Plaines dont Hyde nous rapporte l'histoire, du XVe siècle au début du XIXe, portent des noms autant célèbres qu'emblématiques: Sioux, Cheyennes …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", Good Time Girls of Colorado: A Red,https://books.google.com/books?hl=en&lr=&id=Ga6hDwAAQBAJ&oi=fnd&pg=PA139&ots=I-hs_WcNTs&sig=FUiMimbBZyQW9NkABpTeGbvpnwQ,Jan MacKell Collins,,BOOK,2019,Twodot,books.google.com,"AHT Hussey - Good Time Girls of Colorado: A Red-Light History …, 2019 - books.google.com",No citation count,https://scholar.google.comNo citation count,"Becausecity’s illicit Trinidad nightlife was is located likely to right have along begun the a Santa 
lot earlier Fe Trail, than the in most Colorado towns. Permanent settlement at Trinidad began …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en",LETTERS OF A PROSELYTE: The Hascall-pomeroy Correspondence (continued),https://www.jstor.org/stable/45057922,UB Hascall,,ARTICLE,1957,Utah Historical Quarterly,JSTOR,"UB Hascall - Utah Historical Quarterly, 1957 - JSTOR",No citation count,https://scholar.google.comNo citation count,"Dear Brother, and sister, I fear you have not received my last letter as I have not received an answer, I went to the office found a letter I thought it must be from you, but it was from Francis …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en"," Where dry rivers meet: A palimpsest of the Pahvant Valley, Black Rock and Sevier Deserts",https://collections.lib.utah.edu/dl_files/49/9e/499e05b11186931dd9f93b1aa79c2ca8c4bfde73.pdf,DJ Mace,,THESIS/DISSERTATION,2012,University of Utah,search.proquest.com,DJ Mace - 2012 - search.proquest.com,No citation count,https://scholar.google.comNo citation count,"WHERE DRY RIVERS MEET: A PALIMPSEST OF THE PAHVANT VALLEY, BLACK ROCK 
AND SEVIER DESERTS by Dylan J. Mace A thesis submitted t Page 1 WHERE DRY RIVERS …"
G0006,Utah Indians and Spanish Slave Trade,"https://scholar.google.com/scholar?cites=14752252542071570018&as_sdt=5,45&sciodt=0,45&hl=en", MYTHS AND LEGENDS OF THE UINTA'S,https://5y1.org/download/b9fd245466f6db66a60a3ad3a640e917.pdf,C Bailey,,ARTICLE,2003,Online,5y1.org,"C Bailey, T Merkley, B Loosle - 2003 - 5y1.org",No citation count,https://scholar.google.comNo citation count,"A story is told of a group of five desperados who were trying to elude their pursuers. In their haste, they bury their loot, containing many gold bars taken from an Old Spanish mine …"
G0007,Negro Slaves in Utah,"https://scholar.google.com/scholar?cites=2531796587771118109&as_sdt=5,45&sciodt=0,45&hl=en", In search of the racial frontier: African Americans in the American west 1528-1990,https://books.google.com/books?hl=en&lr=&id=83GLAwAAQBAJ&oi=fnd&pg=PA5&ots=Fe2omjITX2&sig=J9-FVsgI5kwhaRzpl9yqElGszzI,Q Taylor,,BOOK,1999,W.W. Norton & Company,books.google.com,Q Taylor - 1999 - books.google.com,545,"https://scholar.google.com/scholar?cites=2052377742228187094&as_sdt=5,45&sciodt=0,45&hl=en",""" An enthralling work that will be essential reading for years to come.""—David Nicholson, Washington Post A landmark history of African Americans in the West, In Search of the …"
